title	date	link
Meta Cracks Down on Cyber Espionage Operations in South Asia Abusing Facebook	August 08, 2022	https://thehackernews.com/2022/08/meta-cracks-down-on-cyber-espionage.html
Emergency Alert System Flaws Could Let Attackers Transmit Fake Messages	August 05, 2022	https://thehackernews.com/2022/08/emergency-alert-system-flaws-could-let.html
A Growing Number of Malware Attacks Leveraging Dark Utilities 'C2-as-a-Service'	August 05, 2022	https://thehackernews.com/2022/08/a-growing-number-of-malware-attacks.html
Over a Dozen Android Apps on Google Play Store Caught Dropping Banking Malware	July 29, 2022	https://thehackernews.com/2022/07/over-dozen-android-apps-on-google-play.html
Ukrainian Radio Stations Hacked to Broadcast Fake News About Zelenskyy's Health	July 22, 2022	https://thehackernews.com/2022/07/ukrainian-radio-stations-hacked-to.html
New Linux Malware Framework Lets Attackers Install Rootkit on Targeted Systems	July 21, 2022	https://thehackernews.com/2022/07/new-linux-malware-framework-let.html
FBI Seizes $500,000 Ransomware Payments and Crypto from North Korean Hackers	July 21, 2022	https://thehackernews.com/2022/07/fbi-seizes-500000-ransomware-payments.html
State-Backed Hackers Targeting Journalists in Widespread Espionage Campaigns	July 14, 2022	https://thehackernews.com/2022/07/state-backed-hackers-targeting.html
North Korean Maui Ransomware Actively Targeting U.S. Healthcare Organizations	July 07, 2022	https://thehackernews.com/2022/07/north-korean-maui-ransomware-actively.html
As New Clues Emerges, Experts Wonder: Is REvil Back?	July 05, 2022	https://thehackernews.com/2022/07/as-new-clues-emerges-experts-wonder-is.html
APT Hackers Targeting Industrial Control Systems with ShadowPad Backdoor	June 28, 2022	https://thehackernews.com/2022/06/apt-hackers-targeting-industrial.html
Critical PHP Vulnerability Exposes QNAP NAS Devices to Remote Attacks	June 23, 2022	https://thehackernews.com/2022/06/critical-php-vulnerability-exposes-qnap.html
Europol Busts Phishing Gang Responsible for Millions in Losses	June 22, 2022	https://thehackernews.com/2022/06/europol-busts-phishing-gang-responsible.html
Atlassian Confluence Flaw Being Used to Deploy Ransomware and Crypto Miners	June 18, 2022	https://thehackernews.com/2022/06/atlassian-confluence-flaw-being-used-to.html
Chinese Hackers Exploited Sophos Firewall Zero-Day Flaw to Target South Asian Entity	June 17, 2022	https://thehackernews.com/2022/06/chinese-hackers-exploited-sophos.html
Panchan: A New Golang-based Peer-To-Peer Botnet Targeting Linux Servers	June 15, 2022	https://thehackernews.com/2022/06/panchan-new-golang-based-peer-to-peer.html
Cloudflare Saw Record-Breaking DDoS Attack Peaking at 26 Million Request Per Second	June 15, 2022	https://thehackernews.com/2022/06/cloudflare-saw-record-breaking-ddos.html
Unpatched Travis CI API Bug Exposes Thousands of Secret User Access Tokens	June 14, 2022	https://thehackernews.com/2022/06/unpatched-travis-ci-api-bug-exposes.html
HelloXD Ransomware Installing Backdoor on Targeted Windows and Linux Systems	June 13, 2022	https://thehackernews.com/2022/06/hello-xd-ransomware-installing-backdoor.html
Microsoft Blocks Iran-linked Lebanese Hackers Targeting Israeli Companies	June 03, 2022	https://thehackernews.com/2022/06/microsoft-blocks-iran-linked-lebanese.html
U.S. Proposes $1 Million Fine on Colonial Pipeline for Safety Violations After Cyberattack	May 10, 2022	https://thehackernews.com/2022/05/us-proposes-1-million-fine-on-colonial.html
Ukrainian CERT Warns Citizens of a New Wave of Attacks Distributing Jester Malware	May 09, 2022	https://thehackernews.com/2022/05/ukrainian-cert-warns-citizens-of-new.html
"Chinese ""Override Panda"" Hackers Resurface With New Espionage Attacks"	May 02, 2022	https://thehackernews.com/2022/05/chinese-override-panda-hackers.html
Russian Hackers Targeting Diplomatic Entities in Europe, Americas, and Asia	May 02, 2022	https://thehackernews.com/2022/05/russian-hackers-targeting-diplomatic.html
Microsoft Documents Over 200 Cyberattacks by Russia Against Ukraine	April 29, 2022	https://thehackernews.com/2022/04/microsoft-documents-over-200.html
Experts Detail 3 Hacking Teams Working Under the Umbrella of TA410 Group	April 28, 2022	https://thehackernews.com/2022/04/experts-detail-3-hacking-teams-working.html
Cloudflare Thwarts Record DDoS Attack Peaking at 15 Million Requests Per Second	April 28, 2022	https://thehackernews.com/2022/04/cloudflare-thwarts-record-ddos-attack.html
Gold Ulrick Hackers Still in Action Despite Massive Conti Ransomware Leak	April 26, 2022	https://thehackernews.com/2022/04/gold-ulrick-hackers-still-in-action.html
FBI Warns of BlackCat Ransomware That Breached Over 60 Organisations Worldwide	April 25, 2022	https://thehackernews.com/2022/04/fbi-warns-of-blackcat-ransomware-that.html
New Incident Report Reveals How Hive Ransomware Targets Organizations	April 21, 2022	https://thehackernews.com/2022/04/new-incident-report-reveals-how-hive.html
Five Eyes Nations Warn of Russian Cyber Attacks Against Critical Infrastructure	April 21, 2022	https://thehackernews.com/2022/04/five-eyes-nations-warn-of-russian-cyber.html
FBI, U.S. Treasury and CISA Warn of North Korean Hackers Targeting Blockchain Companies	April 19, 2022	https://thehackernews.com/2022/04/fbi-us-treasury-and-cisa-warns-of-north.html
New Hacking Campaign Targeting Ukrainian Government with IcedID Malware	April 18, 2022	https://thehackernews.com/2022/04/new-hacking-campaign-targeting.html
Lazarus Group Behind $540 Million Axie Infinity Crypto Hack and Attacks on Chemical Sector	April 16, 2022	https://thehackernews.com/2022/04/lazarus-hackers-behind-540-million-axie.html
U.S. Warns of APT Hackers Targeting ICS/SCADA Systems with Specialized Malware	April 14, 2022	https://thehackernews.com/2022/04/us-warns-of-apt-hackers-targeting.html
Hamas-linked Hackers Targeting High-Ranking Israelis Using 'Catfish' Lures	April 07, 2022	https://thehackernews.com/2022/04/hamas-linked-hackers-targeting-high.html
Multiple Hacker Groups Capitalizing on Ukraine Conflict for Distributing Malware	April 04, 2022	https://thehackernews.com/2022/04/multiple-hacker-groups-capitalizing-on.html
Russian Wiper Malware Likely Behind Recent Cyberattack on Viasat KA-SAT Modems	April 01, 2022	https://thehackernews.com/2022/04/russian-wiper-malware-responsible-for.html
Hackers Increasingly Using 'Browser-in-the-Browser' Technique in Ukraine Related Attacks	March 31, 2022	https://thehackernews.com/2022/03/hackers-increasingly-using-browser-in.html
New Report on Okta Hack Reveals the Entire Episode LAPSUS$ Attack	March 29, 2022	https://thehackernews.com/2022/03/new-report-on-okta-hack-reveals-entire.html
U.S. Charges 4 Russian Govt. Employees Over Hacking Critical Infrastructure Worldwide	March 25, 2022	https://thehackernews.com/2022/03/us-charges-4-russian-govt-employees.html
U.S. Government Warns Companies of Potential Russian Cyber Attacks	March 22, 2022	https://thehackernews.com/2022/03/us-government-warns-companies-of.html
Google Uncovers 'Initial Access Broker' Working with Conti Ransomware Gang	March 18, 2022	https://thehackernews.com/2022/03/google-uncovers-initial-access-broker.html
CaddyWiper: Yet Another Data Wiping Malware Targeting Ukrainian Networks	March 15, 2022	https://thehackernews.com/2022/03/caddywiper-yet-another-data-wiping.html
Emotet Botnet's Latest Resurgence Spreads to Over 100,000 Computers	March 10, 2022	https://thehackernews.com/2022/03/emotet-botnets-latest-resurgence.html
Hackers Abuse Mitel Devices to Amplify DDoS Attacks by 4 Billion Times	March 09, 2022	https://thehackernews.com/2022/03/hackers-abuse-mitel-devices-to-amplify.html
Google: Russian Hackers Target Ukrainians, European Allies via Phishing Attacks	March 08, 2022	https://thehackernews.com/2022/03/google-russian-hackers-target.html
Imperva Thwarts 2.5 Million RPS Ransom DDoS Extortion Attacks	March 05, 2022	https://thehackernews.com/2022/03/imperva-thwarts-25-million-rps-ransom.html
Russia Releases List of IPs, Domains Attacking Its Infrastructure with DDoS Attacks	March 04, 2022	https://thehackernews.com/2022/03/russia-releases-list-of-ips-domains.html
Hackers Begin Weaponizing TCP Middlebox Reflection for Amplified DDoS Attacks	March 02, 2022	https://thehackernews.com/2022/03/hackers-begin-weaponizing-tcp-middlebox.html
Microsoft Finds FoxBlade Malware Hit Ukraine Hours Before Russian Invasion	March 01, 2022	https://thehackernews.com/2022/03/microsoft-finds-foxblade-malware-hit.html
China-linked Daxin Malware Targeted Multiple Governments in Espionage Attacks	March 01, 2022	https://thehackernews.com/2022/03/china-linked-daxin-malware-targeted.html
Russia-Ukraine War: Phishing, Malware and Hacker Groups Taking Sides	February 26, 2022	https://thehackernews.com/2022/02/russia-ukraine-war-phishing-malware-and.html
"New ""SockDetour"" Fileless, Socketless Backdoor Targets U.S. Defense Contractors"	February 25, 2022	https://thehackernews.com/2022/02/new-sockdetour-fileless-socketless.html
Iran's MuddyWater Hacker Group Using New Malware in Worldwide Cyber Attacks	February 25, 2022	https://thehackernews.com/2022/02/irans-muddywater-hacker-group-using-new.html
Putin Warns Russian Critical Infrastructure to Brace for Potential Cyber Attacks	February 25, 2022	https://thehackernews.com/2022/02/putin-warns-russian-critical.html
Warning — Deadbolt Ransomware Targeting ASUSTOR NAS Devices	February 24, 2022	https://thehackernews.com/2022/02/warning-deadbolt-ransomware-targeting.html
New Wiper Malware Targeting Ukraine Amid Russia's Military Operation	February 24, 2022	https://thehackernews.com/2022/02/new-wiper-malware-targeting-ukraine.html
Hackers Backdoor Unpatched Microsoft SQL Database Servers with Cobalt Strike 	February 22, 2022	https://thehackernews.com/2022/02/hackers-backdoor-unpatched-microsoft.html
Iranian State Broadcaster IRIB Hit by Destructive Wiper Malware	February 21, 2022	https://thehackernews.com/2022/02/iranian-state-broadcaster-irib-hits-by_21.html
PseudoManuscrypt Malware Spreading the Same Way as CryptBot Targets Koreans	February 18, 2022	https://thehackernews.com/2022/02/pseudomanuscrypt-malware-spreading-same.html
Hackers Planted Fake Digital Evidence on Devices of Indian Activists and Lawyers	February 11, 2022	https://thehackernews.com/2022/02/hackers-planted-fake-digital-evidence.html
Iranian Hackers Using New Marlin Backdoor in 'Out to Sea' Espionage Campaign	February 09, 2022	https://thehackernews.com/2022/02/iranian-hackers-using-new-marlin.html
Russian APT Hackers Used COVID-19 Lures to Target European Diplomats	February 09, 2022	https://thehackernews.com/2022/02/russian-apt-hackers-used-covid-19-lures.html
Hackers Backdoored Systems at China's National Games Just Before Competition	February 07, 2022	https://thehackernews.com/2022/02/hackers-backdoored-systems-at-chinas.html
Chinese Hackers Target Taiwanese Financial Institutions with a new Stealthy Backdoor	February 07, 2022	https://thehackernews.com/2022/02/chinese-hackers-target-taiwanese.html
Hackers Exploited 0-Day Vulnerability in Zimbra Email Platform to Spy on Users	February 04, 2022	https://thehackernews.com/2022/02/hackers-exploited-0-day-vulnerability.html
New Malware Used by SolarWinds Attackers Went Undetected for Years	February 02, 2022	https://thehackernews.com/2022/02/new-malware-used-by-solarwinds.html
Ukraine Continues to Face Cyber Espionage Attacks from Russian Hackers	February 01, 2022	https://thehackernews.com/2022/02/ukraine-continues-to-face-cyber.html
Reasons Why Every Business is a Target of DDoS Attacks	February 01, 2022	https://thehackernews.com/2022/01/reasons-why-every-business-is-target-of.html
North Korean Hackers Using Windows Update Service to Infect PCs with Malware	January 28, 2022	https://thehackernews.com/2022/01/north-korean-hackers-using-windows.html
QNAP Warns of DeadBolt Ransomware Targeting Internet-Facing NAS Devices	January 28, 2022	https://thehackernews.com/2022/01/qnap-warns-of-deadbolt-ransomware.html
Hackers Using New Evasive Technique to Deliver AsyncRAT Malware	January 27, 2022	https://thehackernews.com/2022/01/hackers-using-new-evasive-technique-to.html
Molerats Hackers Hiding New Espionage Attacks Behind Public Cloud Infrastructure	January 22, 2022	https://thehackernews.com/2022/01/molerats-hackers-hiding-new-espionage.html
Interpol Busted 11 Members of Nigerian BEC Cybercrime Gang	January 20, 2022	https://thehackernews.com/2022/01/interpol-busted-11-members-of-nigerian.html
DoNot Hacking Team Targeting Government and Military Entities in South Asia	January 20, 2022	https://thehackernews.com/2022/01/donot-hacking-team-targeting-government.html
FIN8 Hackers Spotted Using New 'White Rabbit' Ransomware in Recent Attacks	January 19, 2022	https://thehackernews.com/2022/01/fin8-hackers-spotted-using-new-white.html
Ukraine: Recent Cyber Attacks Part of Wider Plot to Sabotage Critical Infrastructure	January 19, 2022	https://thehackernews.com/2022/01/ukraine-recent-cyber-attacks-part-of.html
Ukrainian Government Officially Accuses Russia of Recent Cyberattacks	January 17, 2022	https://thehackernews.com/2022/01/ukrainian-government-officially-accuses.html
A New Destructive Malware Targeting Ukrainian Government and Business Entities	January 16, 2022	https://thehackernews.com/2022/01/a-new-destructive-malware-targeting.html
North Korean Hackers Stole Millions from Cryptocurrency Startups Worldwide	January 14, 2022	https://thehackernews.com/2022/01/north-korean-hackers-stole-millions.html
Researchers Decrypted Qakbot Banking Trojan's Encrypted Registry Keys	January 13, 2022	https://thehackernews.com/2022/01/researchers-decrypted-qakbot-banking.html
US Cyber Command Links 'MuddyWater' Hacking Group to Iranian Intelligence	January 13, 2022	https://thehackernews.com/2022/01/us-cyber-command-links-muddywater.html
FBI, NSA and CISA Warns of Russian Hackers Targeting Critical Infrastructure	January 12, 2022	https://thehackernews.com/2022/01/fbi-nsa-and-cisa-warns-of-russian.html
Microsoft Warns of Continued Attacks Exploiting Apache Log4j Vulnerabilities	January 05, 2022	https://thehackernews.com/2022/01/microsoft-warns-of-continued-attacks.html
Chinese APT Hackers Used Log4Shell Exploit to Target Academic Institution	December 30, 2021	https://thehackernews.com/2021/12/chinese-apt-hackers-used-log4shell.html
New BLISTER Malware Using Code Signing Certificates to Evade Detection	December 24, 2021	https://thehackernews.com/2021/12/new-blister-malware-using-code-signing.html
CISA Compliance for 2022	December 20, 2021	https://thehackernews.com/2021/12/how-to-see-if-cybersecurity-of-your.html
Experts Discover Backdoor Deployed on the U.S. Federal Agency's Network	December 20, 2021	https://thehackernews.com/2021/12/experts-discover-backdoor-deployed-on.html
Apache Issues 3rd Patch to Fix New High-Severity Log4j Vulnerability	December 18, 2021	https://thehackernews.com/2021/12/apache-issues-3rd-patch-to-fix-new-high.html
New PseudoManuscrypt Malware Infected Over 35,000 Computers in 2021	December 17, 2021	https://thehackernews.com/2021/12/new-pseudomanuscrypt-malware-infected.html
Hackers Using Malicious IIS Server Module to Steal Microsoft Exchange Credentials	December 15, 2021	https://thehackernews.com/2021/12/hackers-using-malicious-iis-server.html
How Extended Security Posture Management Optimizes Your Security Stack	December 14, 2021	https://thehackernews.com/2021/12/how-extended-security-posture.html
Microsoft Details Building Blocks of Widely Active Qakbot Banking Trojan	December 13, 2021	https://thehackernews.com/2021/12/microsoft-details-building-blocks-of.html
Apache Log4j Vulnerability — Log4Shell — Widely Under Active Attack	December 13, 2021	https://thehackernews.com/2021/12/apache-log4j-vulnerability-log4shell.html
1.6 Million WordPress Sites Under Cyberattack From Over 16,000 IP Addresses	December 10, 2021	https://thehackernews.com/2021/12/16-million-wordpress-sites-under.html
Microsoft Seizes 42 Malicious Web Domains Used By Chinese Hackers	December 07, 2021	https://thehackernews.com/2021/12/microsoft-seizes-42-malicious-web.html
Researchers Warn Iranian Users of Widespread SMS Phishing Campaigns	December 02, 2021	https://thehackernews.com/2021/12/researchers-warn-iranian-users-of.html
WIRTE Hacker Group Targets Government, Law, Financial Entities in Middle East	November 30, 2021	https://thehackernews.com/2021/11/wirte-hacker-group-targets-government.html
New Chinotto Spyware Targets North Korean Defectors, Human Rights Activists	November 29, 2021	https://thehackernews.com/2021/11/new-chinotto-spyware-targets-north.html
Hackers Targeting Biomanufacturing Facilities With Tardigrade Malware	November 26, 2021	https://thehackernews.com/2021/11/hackers-targeting-biomanufacturing.html
U.S. Charged 2 Iranian Hackers for Threatening Voters During 2020 Presidential Election	November 19, 2021	https://thehackernews.com/2021/11/us-charged-2-iranians-hackers-for.html
U.S., U.K. and Australia Warn of Iranian Hackers Exploiting Microsoft, Fortinet Flaws	November 17, 2021	https://thehackernews.com/2021/11/us-uk-and-australia-warn-of-iranian.html
Abcbot — A New Evolving Wormable Botnet Malware Targeting Linux	November 12, 2021	https://thehackernews.com/2021/11/abcbot-new-evolving-wormable-botnet.html
TrickBot Operators Partner with Shathak Attackers for Conti Ransomware	November 11, 2021	https://thehackernews.com/2021/11/trickbot-operators-partner-with-shatak.html
Iran's Lyceum Hackers Target Telecoms, ISPs in Israel, Saudi Arabia, and Africa	November 11, 2021	https://thehackernews.com/2021/11/irans-lyceum-hackers-target-telecoms.html
Ukraine Identifies Russian FSB Officers Hacking As Gamaredon Group	November 05, 2021	https://thehackernews.com/2021/11/ukraine-identifies-russian-fsb-officers.html
U.S. Federal Agencies Ordered to Patch Hundreds of Actively Exploited Flaws	November 05, 2021	https://thehackernews.com/2021/11/us-federal-agencies-ordered-to-patch.html
U.S. Offers $10 Million Reward for Information on DarkSide Ransomware Group	November 05, 2021	https://thehackernews.com/2021/11/us-offers-10-million-reward-for.html
US Sanctions Pegasus-maker NSO Group and 3 Others For Selling Spyware	November 04, 2021	https://thehackernews.com/2021/11/us-sanctions-pegasus-maker-nso-group.html
Researchers Uncover 'Pink' Botnet Malware That Infected Over 1.6 Million Devices	November 01, 2021	https://thehackernews.com/2021/11/researchers-uncover-pink-botnet-malware.html
Russian TrickBot Gang Hacker Extradited to U.S. Charged with Cybercrime	October 29, 2021	https://thehackernews.com/2021/10/russian-trickbot-gang-hacker-extradited.html
Cyber Attack in Iran Reportedly Cripples Gas Stations Across the Country	October 27, 2021	https://thehackernews.com/2021/10/cyber-attack-in-iran-reportedly.html
Latest Report Uncovers Supply Chain Attacks by North Korean Hackers	October 27, 2021	https://thehackernews.com/2021/10/latest-report-uncovers-supply-chain.html
Hackers Exploited Popular BillQuick Billing Software to Deploy Ransomware	October 25, 2021	https://thehackernews.com/2021/10/hackers-exploited-popular-billquick.html
'Lone Wolf' Hacker Group Targeting Afghanistan and India with Commodity RATs	October 22, 2021	https://thehackernews.com/2021/10/lone-wolf-hacker-group-targeting.html
Two Eastern Europeans Sentenced for Providing Bulletproof Hosting to Cyber Criminals	October 21, 2021	https://thehackernews.com/2021/10/two-eastern-europeans-sentenced-for.html
LightBasin Hackers Breach at Least 13 Telecom Service Providers Since 2019	October 20, 2021	https://thehackernews.com/2021/10/lightbasin-hackers-breach-at-least-13.html
Google: We're Tracking 270 State-Sponsored Hacker Groups From Over 50 Countries	October 14, 2021	https://thehackernews.com/2021/10/google-were-tracking-270-state.html
Microsoft Warns of Iran-Linked Hackers Targeting US and Israeli Defense Firms	October 12, 2021	https://thehackernews.com/2021/10/microsoft-warns-of-iran-linked-hackers.html
Ransomware Group FIN12 Aggressively Going After Healthcare Targets	October 08, 2021	https://thehackernews.com/2021/10/ransomware-group-fin12-aggressively.html
Researchers Warn of FontOnLake Rootkit Malware Targeting Linux Systems	October 08, 2021	https://thehackernews.com/2021/10/researchers-warn-of-fontonlake-rootkit.html
New U.S. Government Initiative Holds Contractors Accountable for Cybersecurity	October 07, 2021	https://thehackernews.com/2021/10/us-justice-dept-launches-civil-cyber.html
Iranian Hackers Abuse Dropbox in Cyberattacks Against Aerospace and Telecom Firms	October 06, 2021	https://thehackernews.com/2021/10/iranian-hackers-abuse-dropbox-in.html
New Study Links Seemingly Disparate Malware Attacks to Chinese Hackers	October 05, 2021	https://thehackernews.com/2021/10/new-study-links-seemingly-disparate.html
New Tomiris Backdoor Found Linked to Hackers Behind SolarWinds Cyberattack	September 30, 2021	https://thehackernews.com/2021/09/new-tomiris-backdoor-found-linked-to.html
A New APT Hacker Group Spying On Hotels and Governments Worldwide	September 25, 2021	https://thehackernews.com/2021/09/a-new-apt-hacker-group-spying-on-hotels.html
US Sanctions Cryptocurrency Exchange SUEX for Aiding Ransomware Gangs	September 22, 2021	https://thehackernews.com/2021/09/us-sanctions-cryptocurrency-exchange.html
Windows MSHTML 0-Day Exploited to Deploy Cobalt Strike Beacon in Targeted Attacks	September 16, 2021	https://thehackernews.com/2021/09/windows-mshtml-0-day-exploited-to.html
Linux Implementation of Cobalt Strike Beacon Targeting Organizations Worldwide	September 13, 2021	https://thehackernews.com/2021/09/linux-implementation-of-cobalt-strike.html
Experts Link Sidewalk Malware Attacks to Grayfly Chinese Hacker Group	September 10, 2021	https://thehackernews.com/2021/09/experts-link-sidewalk-malware-attacks.html
New 0-Day Attack Targeting Windows Users With Microsoft Office Documents	September 08, 2021	https://thehackernews.com/2021/09/new-0-day-attack-targeting-windows.html
FIN7 Hackers Using Windows 11 Themed Documents to Drop Javascript Backdoor	September 03, 2021	https://thehackernews.com/2021/09/fin7-hackers-using-windows-11-themed.html
Microsoft Warns of Widespread Phishing Attacks Using Open Redirects	August 28, 2021	https://thehackernews.com/2021/08/microsoft-warns-of-widespread-phishing.html
New SideWalk Backdoor Targets U.S.-based Computer Retail Business	August 25, 2021	https://thehackernews.com/2021/08/new-sidewalk-backdoor-targets-us-based.html
Cloudflare mitigated one of the largest DDoS attack involving 17.2 million rps	August 20, 2021	https://thehackernews.com/2021/08/cloudflare-mitigated-one-of-largest.html
ShadowPad Malware is Becoming a Favorite Choice of Chinese Espionage Groups	August 20, 2021	https://thehackernews.com/2021/08/shadowpad-malware-is-becoming-favorite.html
Attackers Can Weaponize Firewalls and Middleboxes for Amplified DDoS Attacks	August 16, 2021	https://thehackernews.com/2021/08/attackers-can-weaponize-firewalls-and.html
Hackers Spotted Using Morse Code in Phishing Attacks to Evade Detection	August 13, 2021	https://thehackernews.com/2021/08/hackers-spotted-using-morse-code-in.html
IT Giant Accenture Hit by LockBit Ransomware; Hackers Threaten to Leak Data	August 12, 2021	https://thehackernews.com/2021/08/it-giant-accenture-hit-by-lockbit.html
Hackers Steal Over $600 Million Worth of Cryptocurrencies from Poly Network	August 11, 2021	https://thehackernews.com/2021/08/hacker-steal-over-600-million-worth-of.html
Experts Believe Chinese Hackers Are Behind Several Attacks Targeting Israel	August 10, 2021	https://thehackernews.com/2021/08/experts-believe-chinese-hackers-are.html
A New Wiper Malware Was Behind Recent Cyberattack On Iranian Train System	July 30, 2021	https://thehackernews.com/2021/07/a-new-wiper-malware-was-behind-recent.html
Top 30 Critical Security Vulnerabilities Most Exploited by Hackers	July 29, 2021	https://thehackernews.com/2021/07/top-30-critical-security.html
Chinese Hackers Implant PlugX Variant on Compromised MS Exchange Servers	July 28, 2021	https://thehackernews.com/2021/07/chinese-hackers-implant-plugx-variant.html
Hackers Posed as Aerobics Instructors for Years to Target Aerospace Employees	July 28, 2021	https://thehackernews.com/2021/07/hackers-posed-as-aerobics-instructors.html
APT Hackers Distributed Android Trojan via Syrian e-Government Portal	July 22, 2021	https://thehackernews.com/2021/07/apt-hackers-distributed-android-trojan.html
US and Global Allies Accuse China of Massive Microsoft Exchange Attack	July 20, 2021	https://thehackernews.com/2021/07/us-and-global-allies-accuse-china-of.html
China's Cyberspies Targeting Southeast Asian Government Entities	July 15, 2021	https://thehackernews.com/2021/07/chinas-cyberspies-targeting-southeast.html
Google Details iOS, Chrome, IE Zero-Day Flaws Exploited Recently in the Wild	July 15, 2021	https://thehackernews.com/2021/07/google-details-ios-chrome-ie-zero-day.html
REvil Ransomware Gang Mysteriously Disappears After High-Profile Attacks	July 14, 2021	https://thehackernews.com/2021/07/revil-ransomware-gang-mysteriously.html
Chinese Hackers Exploited Latest SolarWinds 0-Day in Targeted Attacks	July 14, 2021	https://thehackernews.com/2021/07/chinese-hackers-exploit-latest.html
A New Critical SolarWinds Zero-Day Vulnerability Under Active Attack	July 13, 2021	https://thehackernews.com/2021/07/a-new-critical-solarwinds-zero-day.html
Kaseya Releases Patches for Flaws Exploited in Widespread Ransomware Attack	July 12, 2021	https://thehackernews.com/2021/07/kaseya-releases-patches-for-flaws.html
Experts Uncover Malware Attacks Targeting Corporate Networks in Latin America	July 08, 2021	https://thehackernews.com/2021/07/experts-uncover-malware-attacks.html
WildPressure APT Emerges With New Malware Targeting Windows and macOS	July 07, 2021	https://thehackernews.com/2021/07/wildpressure-apt-emerges-with-new.html
NSA, FBI Reveal Hacking Methods Used by Russian Military Hackers	July 02, 2021	https://thehackernews.com/2021/07/nsa-fbi-reveal-hacking-methods-used-by.html
